function,dimension,p_sigma_mode,initial_sigma,seed,best_f,evaluations,reached_target
rosenbrock,10,zero,5.0,1,8.8971693211538e-09,7831,True
rosenbrock,10,zero,5.0,2,9.284920804996093e-09,6511,True
rosenbrock,10,zero,5.0,3,9.370605509191887e-09,6281,True
rosenbrock,10,zero,5.0,4,7.325279818087037e-09,5931,True
rosenbrock,10,zero,5.0,5,8.067365071503338e-09,5591,True
rosenbrock,10,zero,5.0,6,3.986579112347137,20001,False
rosenbrock,10,zero,5.0,7,4.365142460696487e-09,6661,True
rosenbrock,10,zero,5.0,8,6.043471929561356e-09,6331,True
rosenbrock,10,zero,5.0,9,7.869563461907488e-09,7101,True
rosenbrock,10,zero,5.0,10,9.107964066089898e-09,5921,True
rosenbrock,10,random,0.1,1,9.950650244089711e-09,8051,True
rosenbrock,10,random,0.1,2,3.986579112347137,20001,False
rosenbrock,10,random,0.1,3,9.631395784187174e-09,5911,True
rosenbrock,10,random,0.1,4,9.931804485524086e-09,6361,True
rosenbrock,10,random,0.1,5,9.935214906338331e-09,7131,True
rosenbrock,10,random,0.1,6,5.056552397278775e-09,6051,True
rosenbrock,10,random,0.1,7,7.443169714936993e-09,7461,True
rosenbrock,10,random,0.1,8,7.986466539544742e-09,7871,True
rosenbrock,10,random,0.1,9,7.408360266920751e-09,5441,True
rosenbrock,10,random,0.1,10,6.138314740683259e-09,5491,True
rosenbrock,10,random,0.3,1,9.320684851226703e-09,6321,True
rosenbrock,10,random,0.3,2,6.594741474593265e-09,6431,True
rosenbrock,10,random,0.3,3,7.34923435234536e-09,6431,True
rosenbrock,10,random,0.3,4,7.745530234354602e-09,7031,True
rosenbrock,10,random,0.3,5,6.115911809777741e-09,5641,True
